timestamp,symbol,price,volume,bid,ask,bidVolume,askVolume
1705276800000,BTCUSDT,42000.00,1,41999.00,42001.00,1,1
1705276860000,BTCUSDT,41995.00,1,41994.00,41996.00,1,1
1705276920000,BTCUSDT,41990.00,1,41989.00,41991.00,1,1
1705276980000,BTCUSDT,41985.00,1,41984.00,41986.00,1,1
1705277040000,BTCUSDT,41980.00,1,41979.00,41981.00,1,1
1705277100000,BTCUSDT,41975.00,1,41974.00,41976.00,1,1
1705277160000,BTCUSDT,41970.00,1,41969.00,41971.00,1,1
1705277220000,BTCUSDT,41965.00,1,41964.00,41966.00,1,1
1705277280000,BTCUSDT,41960.00,1,41959.00,41961.00,1,1
1705277340000,BTCUSDT,41955.00,1,41954.00,41956.00,1,1
1705277400000,BTCUSDT,41950.00,1,41949.00,41951.00,1,1
1705277460000,BTCUSDT,41945.00,1,41944.00,41946.00,1,1
1705277520000,BTCUSDT,41940.00,1,41939.00,41941.00,1,1
1705277580000,BTCUSDT,41935.00,1,41934.00,41936.00,1,1
1705277640000,BTCUSDT,41930.00,1,41929.00,41931.00,1,1
1705277700000,BTCUSDT,41925.00,1,41924.00,41926.00,1,1
1705277760000,BTCUSDT,41920.00,1,41919.00,41921.00,1,1
1705277820000,BTCUSDT,41915.00,1,41914.00,41916.00,1,1
1705277880000,BTCUSDT,41910.00,1,41909.00,41911.00,1,1
1705277940000,BTCUSDT,41905.00,1,41904.00,41906.00,1,1
1705278000000,BTCUSDT,41900.00,1,41899.00,41901.00,1,1
1705278060000,BTCUSDT,41895.00,1,41894.00,41896.00,1,1
1705278120000,BTCUSDT,41890.00,1,41889.00,41891.00,1,1
1705278180000,BTCUSDT,41885.00,1,41884.00,41886.00,1,1
1705278240000,BTCUSDT,41895.00,1,41894.00,41896.00,1,1
1705278300000,BTCUSDT,41905.00,1,41904.00,41906.00,1,1
1705278360000,BTCUSDT,41915.00,1,41914.00,41916.00,1,1
1705278420000,BTCUSDT,41925.00,1,41924.00,41926.00,1,1
1705278480000,BTCUSDT,41935.00,1,41934.00,41936.00,1,1
1705278540000,BTCUSDT,41945.00,1,41944.00,41946.00,1,1
1705278600000,BTCUSDT,41955.00,1,41954.00,41956.00,1,1
1705278660000,BTCUSDT,41965.00,1,41964.00,41966.00,1,1
1705278720000,BTCUSDT,41975.00,1,41974.00,41976.00,1,1
1705278780000,BTCUSDT,41985.00,1,41984.00,41986.00,1,1
1705278840000,BTCUSDT,41995.00,1,41994.00,41996.00,1,1
1705278900000,BTCUSDT,42005.00,1,42004.00,42006.00,1,1
1705278960000,BTCUSDT,42015.00,1,42014.00,42016.00,1,1
1705279020000,BTCUSDT,42025.00,1,42024.00,42026.00,1,1
1705279080000,BTCUSDT,42035.00,1,42034.00,42036.00,1,1
1705279140000,BTCUSDT,42045.00,1,42044.00,42046.00,1,1
1705280400000,BTCUSDT,42055.00,1,42054.00,42056.00,1,1
1705284000000,BTCUSDT,42065.00,1,42064.00,42066.00,1,1
1705287600000,BTCUSDT,42075.00,1,42074.00,42076.00,1,1
1705291200000,BTCUSDT,42085.00,1,42084.00,42086.00,1,1
1705294800000,BTCUSDT,42095.00,1,42094.00,42096.00,1,1
1705298400000,BTCUSDT,42105.00,1,42104.00,42106.00,1,1
1705302000000,BTCUSDT,42115.00,1,42114.00,42116.00,1,1
1705305600000,BTCUSDT,42125.00,1,42124.00,42126.00,1,1
1705309200000,BTCUSDT,42135.00,1,42134.00,42136.00,1,1
1705312800000,BTCUSDT,42145.00,1,42144.00,42146.00,1,1
1705316400000,BTCUSDT,42155.00,1,42154.00,42156.00,1,1
1705320000000,BTCUSDT,42165.00,1,42164.00,42166.00,1,1
1705323600000,BTCUSDT,42175.00,1,42174.00,42176.00,1,1
1705327200000,BTCUSDT,42185.00,1,42184.00,42186.00,1,1
1705330800000,BTCUSDT,42195.00,1,42194.00,42196.00,1,1
1705334400000,BTCUSDT,42205.00,1,42204.00,42206.00,1,1
1705338000000,BTCUSDT,42215.00,1,42214.00,42216.00,1,1
1705341600000,BTCUSDT,42225.00,1,42224.00,42226.00,1,1
1705345200000,BTCUSDT,42235.00,1,42234.00,42236.00,1,1
1705348800000,BTCUSDT,42245.00,1,42244.00,42246.00,1,1
1705352400000,BTCUSDT,42255.00,1,42254.00,42256.00,1,1
1705356000000,BTCUSDT,42265.00,1,42264.00,42266.00,1,1
1705359600000,BTCUSDT,42275.00,1,42274.00,42276.00,1,1
