timestamp,symbol,price,volume,bid,ask,bidVolume,askVolume
1705363200000,BTCUSDT,42055.00,1,42054.00,42056.00,1,1
1705363260000,BTCUSDT,42065.00,1,42064.00,42066.00,1,1
1705363320000,BTCUSDT,42075.00,1,42074.00,42076.00,1,1
1705363380000,BTCUSDT,42085.00,1,42084.00,42086.00,1,1
1705363440000,BTCUSDT,42095.00,1,42094.00,42096.00,1,1
1705363500000,BTCUSDT,42105.00,1,42104.00,42106.00,1,1
1705363560000,BTCUSDT,42115.00,1,42114.00,42116.00,1,1
1705363620000,BTCUSDT,42125.00,1,42124.00,42126.00,1,1
1705363680000,BTCUSDT,42115.00,1,42114.00,42116.00,1,1
1705363740000,BTCUSDT,42105.00,1,42104.00,42106.00,1,1
1705363800000,BTCUSDT,42095.00,1,42094.00,42096.00,1,1
1705363860000,BTCUSDT,42085.00,1,42084.00,42086.00,1,1
1705363920000,BTCUSDT,42075.00,1,42074.00,42076.00,1,1
1705363980000,BTCUSDT,42065.00,1,42064.00,42066.00,1,1
1705364040000,BTCUSDT,42055.00,1,42054.00,42056.00,1,1
1705364100000,BTCUSDT,42045.00,1,42044.00,42046.00,1,1
1705364160000,BTCUSDT,42035.00,1,42034.00,42036.00,1,1
1705364220000,BTCUSDT,42025.00,1,42024.00,42026.00,1,1
1705364280000,BTCUSDT,42015.00,1,42014.00,42016.00,1,1
1705364340000,BTCUSDT,42005.00,1,42004.00,42006.00,1,1
1705364400000,BTCUSDT,41995.00,1,41994.00,41996.00,1,1
1705364460000,BTCUSDT,41985.00,1,41984.00,41986.00,1,1
1705364520000,BTCUSDT,41975.00,1,41974.00,41976.00,1,1
1705364580000,BTCUSDT,41965.00,1,41964.00,41966.00,1,1
1705364640000,BTCUSDT,41955.00,1,41954.00,41956.00,1,1
1705364700000,BTCUSDT,41945.00,1,41944.00,41946.00,1,1
1705364760000,BTCUSDT,41935.00,1,41934.00,41936.00,1,1
1705364820000,BTCUSDT,41925.00,1,41924.00,41926.00,1,1
1705364880000,BTCUSDT,41915.00,1,41914.00,41916.00,1,1
1705364940000,BTCUSDT,41905.00,1,41904.00,41906.00,1,1
1705365000000,BTCUSDT,41895.00,1,41894.00,41896.00,1,1
1705365060000,BTCUSDT,41885.00,1,41884.00,41886.00,1,1
1705365120000,BTCUSDT,41875.00,1,41874.00,41876.00,1,1
1705365180000,BTCUSDT,41865.00,1,41864.00,41866.00,1,1
1705365240000,BTCUSDT,41855.00,1,41854.00,41856.00,1,1
1705365300000,BTCUSDT,41845.00,1,41844.00,41846.00,1,1
1705365360000,BTCUSDT,41835.00,1,41834.00,41836.00,1,1
1705365420000,BTCUSDT,41825.00,1,41824.00,41826.00,1,1
1705365480000,BTCUSDT,41815.00,1,41814.00,41816.00,1,1
1705366800000,BTCUSDT,41805.00,1,41804.00,41806.00,1,1
1705370400000,BTCUSDT,41795.00,1,41794.00,41796.00,1,1
1705374000000,BTCUSDT,41785.00,1,41784.00,41786.00,1,1
1705377600000,BTCUSDT,41775.00,1,41774.00,41776.00,1,1
1705381200000,BTCUSDT,41765.00,1,41764.00,41766.00,1,1
1705384800000,BTCUSDT,41755.00,1,41754.00,41756.00,1,1
1705388400000,BTCUSDT,41745.00,1,41744.00,41746.00,1,1
1705392000000,BTCUSDT,41735.00,1,41734.00,41736.00,1,1
1705395600000,BTCUSDT,41725.00,1,41724.00,41726.00,1,1
1705399200000,BTCUSDT,41715.00,1,41714.00,41716.00,1,1
1705402800000,BTCUSDT,41705.00,1,41704.00,41706.00,1,1
1705406400000,BTCUSDT,41695.00,1,41694.00,41696.00,1,1
1705410000000,BTCUSDT,41685.00,1,41684.00,41686.00,1,1
1705413600000,BTCUSDT,41675.00,1,41674.00,41676.00,1,1
1705417200000,BTCUSDT,41665.00,1,41664.00,41666.00,1,1
1705420800000,BTCUSDT,41655.00,1,41654.00,41656.00,1,1
1705424400000,BTCUSDT,41645.00,1,41644.00,41646.00,1,1
1705428000000,BTCUSDT,41635.00,1,41634.00,41636.00,1,1
1705431600000,BTCUSDT,41625.00,1,41624.00,41626.00,1,1
1705435200000,BTCUSDT,41615.00,1,41614.00,41616.00,1,1
1705438800000,BTCUSDT,41605.00,1,41604.00,41606.00,1,1
1705442400000,BTCUSDT,41595.00,1,41594.00,41596.00,1,1
1705446000000,BTCUSDT,41585.00,1,41584.00,41586.00,1,1
